education,expersion,fuli,highSalary,lowSalary,name,place,yaoqiu
本科,应届生,,5,8K,JAVA实习生,北京,薪资待遇：转正后7K—17K/月，视能力和表现而定。实习期间约5K-8k/月。福利待遇：五险一金、差旅补贴、通讯补贴、绩效奖金、带薪休假、公费旅游、周末双休、自认能力够可以申请开发新项目。1.全职2.有团队合作意识，能吃苦3.本科以上学历，计算机相关专业优先。4.有责任感，学习能力突出。想试试的同学可以直接将自己完整版的简历发送到邮箱*****。2-3天内HR会电话回复。
本科,1年以内,五险一金加班补助全勤奖年终奖五险一金加班补助全勤奖年终奖,6,12K,JAVA初级工程师（含实习）,北京,1. [学习技术] 学习并研究主管所安排的技术知识2. [功能开发] 根据任务安排，完成后台系统的业务逻辑开发3. [调试维护] 负责后台系统的功能调试，单元测试及后期的维护工作4. [反馈问题] 主动发现系统中的问题，及时反馈给协作同事，并同时提出解决方案1. 热爱java开发工作，为人正直、诚实守信、认真负责2. 掌握任意一门面向对象编程语言3. 了解常用算法、数据结构、关系型数据库知识等 4. 具有团队合作精神，良好的沟通能力，强烈的求知欲，对技术狂热，具有自主学习精神和快速学习能力5.统招类一本
本科,经验不限,五险一金补充医疗保险定期体检年终奖股票期权带薪年假交通补助节日福利五险一金补充医疗保险定期体检年终奖股票期权带薪年假交通补助节日福利,4,6K,JAVA研发实习生,北京,1、熟悉java语言；2、熟悉 MySQL 应用开发，熟悉数据库原理和常用性能优化技术，以及 NoSQL原理、使用场景以及限制；3、熟悉常用的互联网技术，包括但不限于RPC、MQ、缓存技术、调用策略等优先；4、参与过大型复杂分布式互联网系统的设计优先；5、有较强的逻辑思维能力，善于分析、归纳、解决问题；其他要求：我们希望你是个会坚持的人，因为我们每天都有 Code Review；我们希望你是个代码洁癖的人，因为我们规范需要不断完善；我们希望你是个懂的分享的人，因为我们每周都有技术分享；我们希望你是个爱看优秀文章的人，因为我们每两周都有文章分享；我们希望你是个爱看优秀开源代码的人，因为我们每人每年都有分享一次开源代码解读；我们希望你是个敢说敢干的人，因为我们随时会争论且执行力都高；我们还希望你是个….
5个月,5天/周,带薪年假技术大牛轻松氛围互联网金融领导nice年终分红地铁周边带薪年假技术大牛轻松氛围互联网金融领导nice年终分红地铁周边带薪年假技术大牛轻松氛围互联网金融领导nice年终分红地铁周边,150,200/天,初级java实习生,北京,"1、本科及以上学历，计算机相关专业毕业2、理解面向对象编程思想，扎实的Java开发功底，了解通信相关技术Dubbo等3、了解Spring,Mybatis等主流框架，有一定的Web开发经验4、熟练使用MySQL 数据库5、理解IO、多线程，对JVM原理熟悉,有相关开发经验者优先6、熟悉Html/Javascript/JQuery/Ajax/Bootstrap等前端技术7、有强烈责任心、团队精神、热爱技术、有很强的自我学习能力8、暂只考虑2020届毕业生加分项：1，参加过ACM等计算机比赛，得奖者更佳2，有技术博客或者在github等平台发布过代码"
硕士,应届生,五险一金五险一金地铁周边公司氛围好领导nice,4,6K,软件开发实习生,北京,适合初期从业的计算机科班出身人员，发展空间大，不需要每天坐班。1、  调研航天测控、运控相关开源软件；2、  撰写卫星运管网可行性分析报告；3、  结合前期调研结果，编写软件；4、  协助上级主管完成其他日常行政事务。1、211院校计算机或相近专业研二、研三在读生，有项目经验者优先考虑；2、具有较强的计划能力和执行能力，良好的协调能力和人际沟通能力；3、性格开朗、积极主动，具有良好的团队合作精神；4、实习后留在公司继续任职者优先5、能适应较大压力与加班者优先考虑实习期表现优异者，可直接转正。
本科,经验不限,股票期权领导nice带薪年假公司氛围好年终分红免费零食扁平管理股票期权领导nice带薪年假公司氛围好年终分红免费零食扁平管理股票期权领导nice带薪年假公司氛围好年终分红免费零食扁平管理,4,8K,Web后端实习生,北京,公司简介：北京图知天下科技有限责任公司是一家从事人工智能产品研发的高科技公司，业务方向目前涵盖智能安防与智慧商场，我们的愿景是让人工智能更好的为人类服务。工作职责：1、负责web 产品的后端开发工作；2、与产品设计师、前端工程师一起探讨、设计、实现web 产品的新功能及改进；3、与基础架构工程师、运维工程师一起实现稳定、可扩展的后台服务；4、数据驱动，不断通过产品和技术数据进行改进，并完成快速迭代工作要求：1、对计算机相关基础知识有较好理解，了解常用数据结构和算法；2、熟练掌握Java作为后端语言的使用，了解JavaScript语言；3、熟悉常用 web 后端开发相关技术，掌握Servlet，SSM（Spring，SpringMVC，Mybatis），Struts2，Maven，SVN等主流互联网开发框架及项目管理工具；4、具备使用SQL Server、Mysql、Oracle等数据库之一的能力，能完成后端与数据库的读写交互；5、良好的编码风格及测试习惯；6、良好的沟通能力，有团队合作精神和责任感，有很强的学习能力，有主动性和上进心；7.、有创业意愿，愿意与公司共同成长者优先。8、 实习时间至少4个月，每周至少4个工作日；能长期实习者优先。薪资：200-400元/天（薪资视能力而定，可调整，优秀者薪资可议，上不封顶；优秀者实习期结束后可转正，待遇从优）公司提供参加领域内会议、展会的学习机会，与技术大牛面对面交流；提供每日下午茶，免费水果、零食和咖啡等你来；加班路费补贴、健身器械使用……多重福利等你来体验！公司地址：北京市海淀区中关村东路66号世纪科贸大厦B座903室公司邮箱：*****（请注明岗位）公司网址：http://www.deeperception.net/
大专,应届生,五险一金补充医疗保险定期体检年终奖股票期权带薪年假员工旅游五险一金补充医疗保险定期体检年终奖股票期权带薪年假员工旅游,1,2K,Java实习生,北京,"1.参与项目需求分析和设计；2.负责项目的后台开发及维护；3.负责开发文档的编写、维护和规范。1.Java基础扎实，良好的代码风格，熟悉J2EE规范，熟悉常用设计模式，对面向对象、领域驱动开发有一定的经验；2.熟练使用开源技术以及框架（spring、mybatis等）；3.熟练使用MySQL数据库；4.熟悉Linux环境以及操作，SVN、Maven的使用，熟悉Apache，Nginx等开源的服务器； 熟练使用dubbo、zookeeper分布式；5.能够及时关注业界最新技术动态和发展方向，能够独立研究并乐于分享技术,同时，要有强烈的责任心、主动性和团队合作精神；6.有Web开发和性能调优经验经验者优先;7.兼职以任务形式，前期需要到公司一个月兼职5-8天，一天100;后期可增加至150，对接好后可不来公司，在家办公"
本科,经验不限,,2,4K,java软件工程师,北京,2、熟悉设计模式，对面向对象技术有深入理解；3、熟悉常见的JAVA开发框架并对其架构体系有深刻的理解；4、熟悉网络编程及分布式系统架构技术，有VR系统软件经验者优先。5、熟悉Linux系统管理和操作；精通数据库编程技术，掌握一至两种主流数据库；6、熟悉UML，了解并掌握项目开发流程，熟悉软件工程的规范和运作流程；7、有良好的编程习惯和编程风格，并具备良好的文档撰写能力；1，统招本科，学习完成了大三的课程2、计算机基础课扎实，自己答老师的卷子至少能及格3、动手能力强，至少完成或合作完成过1件软件程序4、致力于做软件开发技术工作5、欢迎大四长期实习生，我们会引导你进入专业的软件开发，接触到最流行的软件开发技术
硕士,经验不限,年终奖节日福利年终奖节日福利,8,15K,JAVA实习生,北京,1．参与公司app产品的需求分析和设计开发；2．按照软件开发规范进行文档编写；3．配合测试组进行系统测试和对bug的修正；4．完成领导交办的其它任务。要求：211\985本科生，计算机相关专业；硕士优先；我们需要你：1、java后台代码设计和编写2、业务的协作和沟通我们希望你：1、为2019届应届毕业生或2019届实习生。2、扎实的java基础3、有团队协作意识4、对互联网有极大的热情 ，对教育有情怀。我们能提供：1、实习期满六个月的，正式入职后则免试用期；2、优厚的薪酬待遇；3、良好的学习成长空间；4、免费提供水果、零食，随时给您补充能量；5、各类团建（不想出屋的公司也有跑步机）；6、其他的，自己来体验吧
本科,应届生,,2,4K,java软件开发实习生,北京,2、熟悉设计模式，对面向对象技术有深入理解；3、熟悉常见的JAVA开发框架并对其架构体系有深刻的理解；4、熟悉网络编程及分布式系统架构技术，有VR系统软件经验者优先。5、熟悉Linux系统管理和操作；精通数据库编程技术，掌握一至两种主流数据库；6、熟悉UML，了解并掌握项目开发流程，熟悉软件工程的规范和运作流程；7、有良好的编程习惯和编程风格，并具备良好的文档撰写能力；1，统招本科，学习完成了大三的课程2、计算机基础课扎实，自己答老师的卷子至少能及格3、动手能力强，至少完成或合作完成过1件软件程序4、致力于做软件开发技术工作5、欢迎大四长期实习生，我们会引导你进入专业的软件开发，接触到最流行的软件开发技术
大专,经验不限,五险一金补充医疗保险定期体检年终奖股票期权带薪年假员工旅游五险一金补充医疗保险定期体检年终奖股票期权带薪年假员工旅游,3,4K,Java实习生,北京,"1.参与项目需求分析和设计；2.负责项目的后台开发及维护；3.负责开发文档的编写、维护和规范。1.Java基础扎实，良好的代码风格，熟悉J2EE规范，熟悉常用设计模式，对面向对象、领域驱动开发有一定的经验；2.熟练使用开源技术以及框架（spring、mybatis等）；3.熟练使用MySQL数据库；4.熟悉Linux环境以及操作，SVN、Maven的使用，熟悉Apache，Nginx等开源的服务器； 熟练使用dubbo、zookeeper分布式；5.能够及时关注业界最新技术动态和发展方向，能够独立研究并乐于分享技术,同时，要有强烈的责任心、主动性和团队合作精神；6.有Web开发和性能调优经验经验者优先。"
硕士,应届生,五险一金定期体检年终奖带薪年假员工旅游餐补节日福利零食下午茶购房借款福利五险一金定期体检年终奖带薪年假员工旅游餐补节日福利零食下午茶购房借款福利,5,10K,Java开发实习生,北京,主要职责：1、负责公司后端模块开发和维护；2、负责业务需求和功能实现的沟通，完成模块设计、开发、测试、修改 bug 等工作；3、编写高质量代码，保证上线产品能稳定运行；4、编写技术文档；5、领导交代的其他工作。1、计算机或数学相关专业，研究生或以上学历，211、985院校优先；2、熟悉 java 后端相关编程技术；3、熟悉 Linux 系统的使用、维护，有基本的脚本编写技能；4、了解常用的开源框架如：Spring、Spring MVC、MyBatis，知其工作原理；5、了解 Redis、RabbitMQ、Kafka 等缓存技术应用；6、有C++编程经验，有良好的编程风格及面向对象编程经验优先。7、热爱编程，有较强的学习能力，有强烈的求知欲、好奇心和进取心，能及时关注和学习业界最新技术。
